t	x	u
4.800000	0.000000	0.008230
4.800000	0.100000	0.499095
4.800000	0.200000	0.990052
4.800000	0.300000	1.481109
4.800000	0.400000	1.972277
4.800000	0.500000	2.463569
4.800000	0.600000	2.954996
4.800000	0.700000	3.446573
4.800000	0.800000	3.938316
4.800000	0.900000	4.430242
4.800000	1.000000	4.922371
4.800000	1.100000	5.414724
4.800000	1.200000	5.907324
4.900000	0.000000	0.007447
4.900000	0.100000	0.508230
4.900000	0.200000	1.009095
4.900000	0.300000	1.510052
4.900000	0.400000	2.011109
4.900000	0.500000	2.512277
4.900000	0.600000	3.013569
4.900000	0.700000	3.514996
4.900000	0.800000	4.016573
4.900000	0.900000	4.518316
4.900000	1.000000	5.020242
4.900000	1.100000	5.522371
4.900000	1.200000	6.024724
5.000000	0.000000	0.006738
5.000000	0.100000	0.517447
5.000000	0.200000	1.028230
5.000000	0.300000	1.539095
5.000000	0.400000	2.050052
5.000000	0.500000	2.561109
5.000000	0.600000	3.072277
5.000000	0.700000	3.583569
5.000000	0.800000	4.094996
5.000000	0.900000	4.606573
5.000000	1.000000	5.118316
5.000000	1.100000	5.630242
5.000000	1.200000	6.142371
5.100000	0.000000	0.006097
5.100000	0.100000	0.526738
5.100000	0.200000	1.047447
5.100000	0.300000	1.568230
5.100000	0.400000	2.089095
5.100000	0.500000	2.610052
5.100000	0.600000	3.131109
5.100000	0.700000	3.652277
5.100000	0.800000	4.173569
5.100000	0.900000	4.694996
5.100000	1.000000	5.216573
5.100000	1.100000	5.738316
5.100000	1.200000	6.260242
5.200000	0.000000	0.005517
5.200000	0.100000	0.536097
5.200000	0.200000	1.066738
5.200000	0.300000	1.597447
5.200000	0.400000	2.128230
5.200000	0.500000	2.659095
5.200000	0.600000	3.190052
5.200000	0.700000	3.721109
5.200000	0.800000	4.252277
5.200000	0.900000	4.783569
5.200000	1.000000	5.314996
5.200000	1.100000	5.846573
5.200000	1.200000	6.378316
5.300000	0.000000	0.004992
5.300000	0.100000	0.545517
5.300000	0.200000	1.086097
5.300000	0.300000	1.626738
5.300000	0.400000	2.167447
5.300000	0.500000	2.708230
5.300000	0.600000	3.249095
5.300000	0.700000	3.790052
5.300000	0.800000	4.331109
5.300000	0.900000	4.872277
5.300000	1.000000	5.413569
5.300000	1.100000	5.954996
5.300000	1.200000	6.496573
5.400000	0.000000	0.004517
5.400000	0.100000	0.554992
5.400000	0.200000	1.105517
5.400000	0.300000	1.656097
5.400000	0.400000	2.206738
5.400000	0.500000	2.757447
5.400000	0.600000	3.308230
5.400000	0.700000	3.859095
5.400000	0.800000	4.410052
5.400000	0.900000	4.961109
5.400000	1.000000	5.512277
5.400000	1.100000	6.063569
5.400000	1.200000	6.614996
5.500000	0.000000	0.004087
5.500000	0.100000	0.564517
5.500000	0.200000	1.124992
5.500000	0.300000	1.685517
5.500000	0.400000	2.246097
5.500000	0.500000	2.806738
5.500000	0.600000	3.367447
5.500000	0.700000	3.928230
5.500000	0.800000	4.489095
5.500000	0.900000	5.050052
5.500000	1.000000	5.611109
5.500000	1.100000	6.172277
5.500000	1.200000	6.733569
5.600000	0.000000	0.003698
5.600000	0.100000	0.574087
5.600000	0.200000	1.144517
5.600000	0.300000	1.714992
5.600000	0.400000	2.285517
5.600000	0.500000	2.856097
5.600000	0.600000	3.426738
5.600000	0.700000	3.997447
5.600000	0.800000	4.568230
5.600000	0.900000	5.139095
5.600000	1.000000	5.710052
5.600000	1.100000	6.281109
5.600000	1.200000	6.852277
5.700000	0.000000	0.003346
5.700000	0.100000	0.583698
5.700000	0.200000	1.164087
5.700000	0.300000	1.744517
5.700000	0.400000	2.324992
5.700000	0.500000	2.905517
5.700000	0.600000	3.486097
5.700000	0.700000	4.066738
5.700000	0.800000	4.647447
5.700000	0.900000	5.228230
5.700000	1.000000	5.809095
5.700000	1.100000	6.390052
5.700000	1.200000	6.971109
5.800000	0.000000	0.003028
5.800000	0.100000	0.593346
5.800000	0.200000	1.183698
5.800000	0.300000	1.774087
5.800000	0.400000	2.364517
5.800000	0.500000	2.954992
5.800000	0.600000	3.545517
5.800000	0.700000	4.136097
5.800000	0.800000	4.726738
5.800000	0.900000	5.317447
5.800000	1.000000	5.908230
5.800000	1.100000	6.499095
5.800000	1.200000	7.090052
5.900000	0.000000	0.002739
5.900000	0.100000	0.603028
5.900000	0.200000	1.203346
5.900000	0.300000	1.803698
5.900000	0.400000	2.404087
5.900000	0.500000	3.004517
5.900000	0.600000	3.604992
5.900000	0.700000	4.205517
5.900000	0.800000	4.806097
5.900000	0.900000	5.406738
5.900000	1.000000	6.007447
5.900000	1.100000	6.608230
